#city,state,zip_code
"Greensboro","NC","27407-1908"
"Charlotte","NC","28217-3504"
"Winston Salem","NC","27103-1310"
"Matthews","NC","28105-5766"
"Wilmington","NC","28405-3091"
"Raleigh","NC","27609-7840"
"West Fargo","ND","58078"
"Toledo","OH","43606-1402"
"Columbus","OH","43219-3044"
"Centerville","OH","45440"
"Perrysburg","OH","43551-1967"
"Avon","OH","44011-1681"
"Cleveland","OH","44124-1808"
"Springdale","OH","45246-3321"
"Cincinnati","OH","45249-8220"
"Strongsville","OH","44136-4433"
"Columbus","OH","43240-7002"
"Tulsa","OK","74133"
"Bend","OR","97701-6277"
"Warrenton","OR","97146-7339"
"Roseburg","OR","97470-1161"
"Tigard","OR","97223-8401"
"Eugene","OR","97408-7337"
"Portland","OR","97230-3401"
"Medford","OR","97504-9259"
"Salem","OR","97301-5090"
"Albany","OR","97321-5325"
"Hillsboro","OR","97124-5008"
"Wilsonville","OR","97070-5785"
"Aloha","OR","97006-5098"
"Clackamas","OR","97015-9733"
"Pottstown","PA","19464-3413"
"Warminster","PA","18974-3533"
"Glen Mills","PA","19342"
"King Of Prussia","PA","19406-1634"
"North Wales","PA","19454-1403"
"Lancaster","PA","17601-5671"
"Harrisburg","PA","17112-2983"
"Cranberry Township","PA","16066-6142"
"Pittsburgh","PA","15205-4858"
"West Homestead","PA","15120-5009"
"Greenville","SC","29607-4108"
"Spartanburg","SC","29301-1382"
"Myrtle Beach","SC","29577-9795"
"Charleston","SC","29414-5664"
"Sioux Falls","SD","57105"
"Knoxville","TN","37934-3002"
"Cordova","TN","38016-4494"
"Memphis","TN","38125-2302"
"Brentwood","TN","37027-2930"
"Nashville","TN","37209-4202"
"Selma","TX","78154-381"
"Houston","TX","77027-5802"
"Rockwall","TX","75032-9376"
"Frisco","TX","75033-4102"
"Pharr","TX","78577-5031"
"Sugar Land","TX","77479-2359"
"Cedar Park","TX","78613"
"Lubbock","TX","79407-3102"
"Katy","TX","77494"
"Fort Worth","TX","76177"
"The Woodlands","TX","77385"
"Pearland","TX","7758"
"Humble","TX","77338-1594"
"Fort Worth","TX","76132-3301"
"Duncanville","TX","75137-4415"
"South Austin","TX","78749-1499"
"Plano","TX","75074-2221"
"Arlington","TX","76014-3702"
"Southlake","TX","76092-6668"
"Houston","TX","77064-1170"
"Houston","TX","77055-6208"
"Austin","TX","78759-5712"
"Lewisville","TX","75067-4158"
"Plano","TX","75093-4520"
"San Antonio","TX","78249-1619"
"San Antonio","TX","78232-1322"
"El Paso","TX","79925-3430"
"South Jordan","UT","84095"
"Spanish Fork","UT","84660"
"Salt Lake City","UT","84115-1805"
"Orem","UT","84097-6528"
"Sandy","UT","84070-4171"
"West Valley","UT","84119-4903"
"Saint George","UT","84790-9041"
"Lehi","UT","84043-2294"
"West Bountiful","UT","84010-7018"
"Murray","UT","84107-6024"
"Ogden","UT","84405-7101"
"Colchester","VT","05446-5830"
"Richmond","VA","23235-4887"
"Alexandria","VA","22306"
"Charlottesville","VA","22901-2784"
"Norfolk","VA","23502-3702"
"Fairfax","VA","22030-6101"
"Glen Allen","VA","23060-4115"
"Sterling","VA","20164-6607"
"Manassas","VA","20109-2845"
"Springfield","VA","22153-2805"
"Arlington","VA","22202-2862"
"Harrisonburg","VA","22801-8742"
"Winchester","VA","22602-7319"
"Newport News","VA","23602-6916"
"Chantilly","VA","20151-2117"
"Leesburg","VA","20176-3355"
"Fredericksburg","VA","22407-4954"
"Woodbridge","VA","22192-4653"
"Seattle","WA","98134-2389"
"Union Gap","WA","98903-1513"
"Covington","WA","98042-9100"
"Clarkston","WA","99403-1860"
"Shoreline","WA","98133-3206"
"Camas","WA","98607-7472"
"Issaquah","WA","98027-5384"
"East Wenatchee","WA","98802-5344"
"Everett","WA","98208-4256"
"Lynnwood","WA","98036-5228"
"Lynnwood","WA","98037"
"Silverdale","WA","98383-8302"
"Bellingham","WA","98226-6475"
"Kennewick","WA","99336-8120"
"Tukwila","WA","98188-4808"
"Federal Way","WA","98003-8314"
"Gig Harbor","WA","98335"
"Sequim","WA","98382-3266"
"Tumwater","WA","98512-7363"
"Marysville","WA","98271-4701"
"Spokane","WA","99208-5613"
"Puyallup","WA","98373-3803"
"Burlington","WA","98233-3223"
"Spokane","WA","99212-0826"
"Lacey","WA","98516-3870"
"Woodinville","WA","98072-9743"
"Fife","WA","98424-1818"
"Vancouver","WA","98665-2016"
"Kirkland","WA","98033-5865"
"Tacoma","WA","98409-7473"
"Middleton","WI","53562-5507"
"Pewaukee","WI","53072"
"Sun Prairie","WI","53590-9334"
"Bellevue","WI","54311"
"Pleasant Prairie","WI","53158-1955"
"Menomonee Falls","WI","53051"
"New Berlin","WI","53151"
"Grand Chute","WI","54913"
"Grafton","WI","53024-9201"
